localizador,DS_CARGO,0
"GUAÍRA,PARANÁ",SENADOR,PAULO MARTINS
"HONÓRIO SERPA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"HONÓRIO SERPA,PARANÁ",SENADOR,PAULO MARTINS
"IBAITI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IBAITI,PARANÁ",SENADOR,PAULO MARTINS
"IBEMA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IBEMA,PARANÁ",SENADOR,ALVARO DIAS
"IBIPORÃ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IBIPORÃ,PARANÁ",SENADOR,SERGIO MORO
"ICARAÍMA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ICARAÍMA,PARANÁ",SENADOR,PAULO MARTINS
"IGUARAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IGUARAÇU,PARANÁ",SENADOR,ALVARO DIAS
"IGUATU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IGUATU,PARANÁ",SENADOR,ALVARO DIAS
"IMBAÚ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IMBAÚ,PARANÁ",SENADOR,ALVARO DIAS
"IMBITUVA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IMBITUVA,PARANÁ",SENADOR,SERGIO MORO
"INAJÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"INAJÁ,PARANÁ",SENADOR,ALINE SLEUTJES
"INDIANÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"INDIANÓPOLIS,PARANÁ",SENADOR,PAULO MARTINS
"INÁCIO MARTINS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"INÁCIO MARTINS,PARANÁ",SENADOR,ALVARO DIAS
"IPIRANGA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IPIRANGA,PARANÁ",SENADOR,SERGIO MORO
"IPORÃ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IPORÃ,PARANÁ",SENADOR,PAULO MARTINS
"IRACEMA DO OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IRACEMA DO OESTE,PARANÁ",SENADOR,ALVARO DIAS
"IRATI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IRATI,PARANÁ",SENADOR,SERGIO MORO
"IRETAMA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IRETAMA,PARANÁ",SENADOR,ALVARO DIAS
"ITAGUAJÉ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ITAGUAJÉ,PARANÁ",SENADOR,ALINE SLEUTJES
"ITAIPULÂNDIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ITAIPULÂNDIA,PARANÁ",SENADOR,PAULO MARTINS
"ITAMBARACÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ITAMBARACÁ,PARANÁ",SENADOR,PAULO MARTINS
"ITAMBÉ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ITAMBÉ,PARANÁ",SENADOR,PAULO MARTINS
"ITAPEJARA D OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ITAPEJARA D OESTE,PARANÁ",SENADOR,PAULO MARTINS
"ITAPERUÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ITAPERUÇU,PARANÁ",SENADOR,ALVARO DIAS
"ITAÚNA DO SUL,PARANÁ",GOVERNADOR,REQUIÃO
"ITAÚNA DO SUL,PARANÁ",SENADOR,ALVARO DIAS
"IVAIPORÃ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IVAIPORÃ,PARANÁ",SENADOR,SERGIO MORO
"IVATUBA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IVATUBA,PARANÁ",SENADOR,SERGIO MORO
"IVATÉ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IVATÉ,PARANÁ",SENADOR,ALVARO DIAS
"IVAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"IVAÍ,PARANÁ",SENADOR,SERGIO MORO
"JABOTI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JABOTI,PARANÁ",SENADOR,ALVARO DIAS
"JACAREZINHO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JACAREZINHO,PARANÁ",SENADOR,PAULO MARTINS
"JAGUAPITÃ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JAGUAPITÃ,PARANÁ",SENADOR,PAULO MARTINS
"JAGUARIAÍVA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JAGUARIAÍVA,PARANÁ",SENADOR,PAULO MARTINS
"JANDAIA DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JANDAIA DO SUL,PARANÁ",SENADOR,SERGIO MORO
"JANIÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JANIÓPOLIS,PARANÁ",SENADOR,ALVARO DIAS
"JAPIRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JAPIRA,PARANÁ",SENADOR,ALVARO DIAS
"JAPURÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JAPURÁ,PARANÁ",SENADOR,PAULO MARTINS
"JARDIM ALEGRE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JARDIM ALEGRE,PARANÁ",SENADOR,PAULO MARTINS
"JARDIM OLINDA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JARDIM OLINDA,PARANÁ",SENADOR,ALINE SLEUTJES
"JATAIZINHO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JATAIZINHO,PARANÁ",SENADOR,SERGIO MORO
"JESUÍTAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JESUÍTAS,PARANÁ",SENADOR,PAULO MARTINS
"JOAQUIM TÁVORA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JOAQUIM TÁVORA,PARANÁ",SENADOR,PAULO MARTINS
"JUNDIAÍ DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JUNDIAÍ DO SUL,PARANÁ",SENADOR,ALVARO DIAS
"JURANDA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JURANDA,PARANÁ",SENADOR,PAULO MARTINS
"JUSSARA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"JUSSARA,PARANÁ",SENADOR,PAULO MARTINS
"KALORÉ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"KALORÉ,PARANÁ",SENADOR,SERGIO MORO
"LAPA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"LAPA,PARANÁ",SENADOR,SERGIO MORO
"LARANJAL,PARANÁ",GOVERNADOR,REQUIÃO
"LARANJAL,PARANÁ",SENADOR,ALVARO DIAS
"LARANJEIRAS DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"LARANJEIRAS DO SUL,PARANÁ",SENADOR,ALVARO DIAS
"LEÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"LEÓPOLIS,PARANÁ",SENADOR,PAULO MARTINS
